name,description,price,productId
aged-wagyu-beef-joints,AGED WAGYU BEEF JOINTS,£89.97,3246
angus-steak-beefburgers-selection,ANGUS STEAK BEEFBURGERS SELECTION,£44.97,3423
barnsley-lamb-chops-minted,BARNSLEY LAMB CHOPS MINTED,£50.97,2599
basa-selections,BASA SELECTIONS,£40.97,2605
turkey-supremes-2,BRITISH TURKEY SUPREMES,£49.97,2612
cape-hake-fillet,CAPE HAKE FILLETS,£39.97,2602
cheese-and-bacon-shantis,CHEESE AND BACON SHANTIS,£39.97,2650
chickenport-wellington,CHICKEN & PORT WELLINGTON,£45.97,3273
chinese-chicken-kebabs,CHINESE CHICKEN KEBABS,£45.97,3172
chinese-plum-duck-breasts,CHINESE PLUM DUCK BREASTS,£53.97,2630
classic-bbq-selection,CLASSIC BBQ SELECTION,£44.97,3162
crispy-battered-haddock-fillet,CRISPY BATTERED HADDOCK FILLET,£39.97,2622
crispy-lemon-sole-goujons,CRISPY LEMON SOLE GOUJONS,£40.97,2982
crunch-selection,CRUNCH SELECTION,£42.97,2608
gluten-free-fish-fingers,GLUTEN FREE FISH FINGERS,£41.97,2995
gourmet-fish-selection,GOURMET FISH SELECTION,£44.97,3168
gourmet-kievs-selection,GOURMET KIEVS SELECTION,£45.97,3239
gourmet-salmon-burgers,GOURMET SALMON BURGERS,£43.97,3165
haddock-selection,HADDOCK SELECTION,£45.97,3296
handmade-fishcake-selection,HANDMADE FISHCAKES SELECTION,£43.97,2974
oriental-dim-sum-selection,ORIENTAL DIM SUM SELECTION,£39.97,3321
outdoor-reared-stuffed-pork-chops,OUTDOOR REARED STUFFED PORK CHOPS,£46.97,3425
pork-selection,PORK SELECTION,£45.97,3174
prime-devon-beefburger,PRIME DEVON BEEFBURGERS,£44.97,2595
sea-trout-supremes,SEA TROUT SUPREMES,£55.97,3303
sole-selection,SOLE SELECTION,£40.97,3158
stilton-sour-cream-turkey-breast,STILTON &amp; SOUR CREAM TURKEY BREAST,£45.97,2619
sweet-chilli-chicken,SWEET CHILLI CHICKEN,£45.97,3155
trio-of-chocolate,TRIO OF CHOCOLATE,£44.97,3044
